,stays_in_week_nights,stays_in_weekend_nights,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adr,is_canceled
0,5.0,2.0,2017.0,4.0,1.0,83.46586615720757,0.0
1,10.0,4.0,2017.0,4.0,1.0,65.12002553941187,1.0
2,5.0,2.0,2017.0,4.0,1.0,73.68982248508651,0.0
3,5.0,2.0,2017.0,4.0,1.0,114.08121558516201,0.0
4,4.0,2.0,2017.0,4.0,1.0,167.72606325112093,1.0
5,2.0,2.0,2017.0,4.0,1.0,77.22704762146014,0.0
6,1.0,1.0,2017.0,4.0,1.0,114.1496400532083,0.0
7,2.0,2.0,2017.0,4.0,1.0,166.13590240927596,1.0
8,1.0,1.0,2017.0,4.0,1.0,97.60706185637227,0.0
9,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
10,2.0,2.0,2017.0,4.0,1.0,119.86874460526465,0.0
11,2.0,2.0,2017.0,4.0,1.0,96.8431053587484,1.0
12,2.0,2.0,2017.0,4.0,1.0,93.5658718531832,0.0
13,5.0,2.0,2017.0,4.0,1.0,71.39486017621745,0.0
14,5.0,2.0,2017.0,4.0,1.0,128.12496912191554,0.0
15,4.0,2.0,2017.0,4.0,1.0,169.29504965200377,1.0
16,2.0,2.0,2017.0,4.0,1.0,96.74232541888107,0.0
17,5.0,2.0,2017.0,4.0,1.0,149.82033470693048,0.0
18,4.0,2.0,2017.0,4.0,1.0,72.98894048422399,0.0
19,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
20,4.0,2.0,2017.0,4.0,1.0,45.16034139604214,0.0
21,1.0,1.0,2017.0,4.0,1.0,59.75197671919463,0.0
22,3.0,2.0,2017.0,4.0,1.0,72.40282856945507,0.0
23,3.0,2.0,2017.0,4.0,1.0,57.02483454680166,0.0
24,3.0,2.0,2017.0,4.0,1.0,56.61667687613453,0.0
25,3.0,2.0,2017.0,4.0,1.0,84.14103689322663,0.0
26,3.0,2.0,2017.0,4.0,1.0,84.14103689322663,0.0
27,2.0,2.0,2017.0,4.0,1.0,74.03919328593106,0.0
28,2.0,2.0,2017.0,4.0,1.0,73.74954447338838,0.0
29,5.0,2.0,2017.0,4.0,1.0,115.2586032976565,0.0
30,2.0,2.0,2017.0,4.0,1.0,136.04333534967958,0.0
31,2.0,2.0,2017.0,4.0,1.0,79.15716856490549,0.0
32,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
33,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
34,4.0,2.0,2017.0,4.0,1.0,46.41945510814646,0.0
35,2.0,2.0,2017.0,4.0,1.0,97.84504038227652,0.0
36,2.0,2.0,2017.0,4.0,1.0,68.97450968752315,0.0
37,5.0,2.0,2017.0,4.0,1.0,82.99854316044332,0.0
38,1.0,0.0,2017.0,4.0,1.0,7.815082906615039,0.0
39,1.0,0.0,2017.0,4.0,1.0,7.9527248552393255,0.0
40,1.0,0.0,2017.0,4.0,1.0,69.11441685827305,1.0
41,5.0,2.0,2017.0,4.0,1.0,64.90572014451801,0.0
42,2.0,2.0,2017.0,4.0,1.0,151.68711109600758,0.0
43,1.0,2.0,2017.0,4.0,1.0,97.1604861890012,1.0
44,1.0,1.0,2017.0,4.0,1.0,106.95029534768615,0.0
45,1.0,1.0,2017.0,4.0,1.0,64.2474487652603,0.0
46,1.0,2.0,2017.0,4.0,1.0,93.69295683936785,0.0
47,1.0,2.0,2017.0,4.0,1.0,93.70148540841467,0.0
48,1.0,2.0,2017.0,4.0,1.0,93.69295683936785,0.0
49,1.0,2.0,2017.0,4.0,1.0,91.24391302791584,0.0
50,1.0,2.0,2017.0,4.0,1.0,111.00764397986201,0.0
51,1.0,2.0,2017.0,4.0,1.0,88.1135460267224,0.0
52,1.0,0.0,2017.0,4.0,1.0,49.7157706037078,0.0
53,1.0,2.0,2017.0,4.0,1.0,171.2197329491124,0.0
54,1.0,2.0,2017.0,4.0,1.0,165.9416217801492,0.0
55,1.0,2.0,2017.0,4.0,1.0,77.78818530990344,0.0
56,1.0,2.0,2017.0,4.0,1.0,69.26692333946748,0.0
57,1.0,0.0,2017.0,4.0,1.0,75.4555564412695,0.0
58,1.0,2.0,2017.0,4.0,1.0,126.47168371505094,0.0
59,1.0,2.0,2017.0,4.0,1.0,88.82326796984216,0.0
60,1.0,2.0,2017.0,4.0,1.0,83.05834548048333,0.0
61,1.0,2.0,2017.0,4.0,1.0,92.79908290826377,0.0
62,1.0,2.0,2017.0,4.0,1.0,111.00764397986201,0.0
63,1.0,2.0,2017.0,4.0,1.0,83.9133318362497,0.0
64,2.0,2.0,2017.0,4.0,1.0,77.23689734377635,0.0
65,2.0,2.0,2017.0,4.0,1.0,118.9629233032117,0.0
66,2.0,2.0,2017.0,4.0,1.0,114.44417485740483,0.0
67,1.0,2.0,2017.0,4.0,1.0,82.31863386647854,0.0
68,1.0,2.0,2017.0,4.0,1.0,82.37791969601798,0.0
69,1.0,2.0,2017.0,4.0,1.0,82.80906620727605,1.0
70,1.0,2.0,2017.0,4.0,1.0,84.97483835262776,0.0
71,1.0,1.0,2017.0,4.0,1.0,57.069082697252504,0.0
72,1.0,1.0,2017.0,4.0,1.0,67.87670246062413,0.0
73,1.0,1.0,2017.0,4.0,1.0,81.46069994334697,0.0
74,1.0,1.0,2017.0,4.0,1.0,90.05710446917969,0.0
75,1.0,1.0,2017.0,4.0,1.0,82.9670480393816,0.0
76,1.0,1.0,2017.0,4.0,1.0,79.82510536761869,0.0
77,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
78,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
79,1.0,0.0,2017.0,4.0,1.0,79.20163638000037,0.0
80,1.0,0.0,2017.0,4.0,1.0,53.17733309354701,0.0
81,1.0,2.0,2017.0,4.0,1.0,82.31863386647854,0.0
82,1.0,0.0,2017.0,4.0,1.0,73.35359811922706,0.0
83,1.0,1.0,2017.0,4.0,1.0,117.0781442042492,0.0
84,4.0,2.0,2017.0,4.0,1.0,43.642972818606715,0.0
85,1.0,1.0,2017.0,4.0,1.0,65.43335551693332,0.0
86,1.0,1.0,2017.0,4.0,1.0,107.09848976767844,0.0
87,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
88,1.0,1.0,2017.0,4.0,1.0,91.81866611921923,0.0
89,1.0,1.0,2017.0,4.0,1.0,57.069082697252504,0.0
90,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
91,1.0,2.0,2017.0,4.0,1.0,86.9023984382101,0.0
92,1.0,1.0,2017.0,4.0,1.0,110.94199944964055,0.0
93,1.0,1.0,2017.0,4.0,1.0,92.40976739599736,0.0
94,3.0,2.0,2017.0,4.0,1.0,56.88585877802003,0.0
95,1.0,1.0,2017.0,4.0,1.0,58.884941759230706,0.0
96,5.0,2.0,2017.0,4.0,1.0,65.23187047839862,0.0
97,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
98,5.0,2.0,2017.0,4.0,1.0,61.55358457028335,0.0
99,1.0,2.0,2017.0,4.0,1.0,84.97483835262776,0.0
100,5.0,2.0,2017.0,4.0,1.0,111.22849323025105,0.0
101,1.0,2.0,2017.0,4.0,1.0,88.81627788414727,0.0
102,5.0,2.0,2017.0,4.0,1.0,55.67310833698591,0.0
103,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
104,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
105,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
106,1.0,2.0,2017.0,4.0,1.0,93.05096449472238,1.0
107,1.0,1.0,2017.0,4.0,1.0,164.78327384742843,1.0
108,5.0,2.0,2017.0,4.0,1.0,45.02573542855271,0.0
109,1.0,0.0,2017.0,4.0,1.0,46.94255528431565,1.0
110,3.0,2.0,2017.0,4.0,1.0,129.8156932685904,0.0
111,1.0,2.0,2017.0,4.0,1.0,91.94216173910874,0.0
112,4.0,2.0,2017.0,4.0,1.0,55.02620020503771,0.0
113,5.0,2.0,2017.0,4.0,1.0,47.6394011385913,0.0
