,stays_in_week_nights,stays_in_weekend_nights,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adr,is_canceled
0,5.0,2.0,2017.0,4.0,1.0,57.225803,0.0
1,10.0,4.0,2017.0,4.0,1.0,68.7412,0.0
2,5.0,2.0,2017.0,4.0,1.0,55.941597,0.0
3,5.0,2.0,2017.0,4.0,1.0,86.82284,0.0
4,4.0,2.0,2017.0,4.0,1.0,115.06793,0.0
5,2.0,2.0,2017.0,4.0,1.0,91.410904,0.0
6,1.0,1.0,2017.0,4.0,1.0,84.82936,0.0
7,2.0,2.0,2017.0,4.0,1.0,124.0508,0.0
8,1.0,1.0,2017.0,4.0,1.0,30.646286,0.0
9,1.0,2.0,2017.0,4.0,1.0,69.82054,0.0
10,2.0,2.0,2017.0,4.0,1.0,115.58002,0.0
11,2.0,2.0,2017.0,4.0,1.0,83.014175,0.0
12,2.0,2.0,2017.0,4.0,1.0,70.95697,0.0
13,5.0,2.0,2017.0,4.0,1.0,18.35375,0.0
14,5.0,2.0,2017.0,4.0,1.0,97.720695,0.0
15,4.0,2.0,2017.0,4.0,1.0,134.8372,0.0
16,2.0,2.0,2017.0,4.0,1.0,76.36023,0.0
17,5.0,2.0,2017.0,4.0,1.0,55.288235,0.0
18,4.0,2.0,2017.0,4.0,1.0,47.361084,0.0
19,1.0,2.0,2017.0,4.0,1.0,81.08382,0.0
20,4.0,2.0,2017.0,4.0,1.0,52.518745,0.0
21,1.0,1.0,2017.0,4.0,1.0,28.007137,0.0
22,3.0,2.0,2017.0,4.0,1.0,59.189392,0.0
23,3.0,2.0,2017.0,4.0,1.0,57.61889,0.0
24,3.0,2.0,2017.0,4.0,1.0,60.357666,0.0
25,3.0,2.0,2017.0,4.0,1.0,61.981026,0.0
26,3.0,2.0,2017.0,4.0,1.0,61.981026,0.0
27,2.0,2.0,2017.0,4.0,1.0,52.55949,0.0
28,2.0,2.0,2017.0,4.0,1.0,58.489063,0.0
29,5.0,2.0,2017.0,4.0,1.0,88.58091,0.0
30,2.0,2.0,2017.0,4.0,1.0,108.58811,0.0
31,2.0,2.0,2017.0,4.0,1.0,45.35098,0.0
32,1.0,2.0,2017.0,4.0,1.0,70.9776,0.0
33,1.0,2.0,2017.0,4.0,1.0,70.9776,0.0
34,4.0,2.0,2017.0,4.0,1.0,25.779879,0.0
35,2.0,2.0,2017.0,4.0,1.0,63.577923,0.0
36,2.0,2.0,2017.0,4.0,1.0,51.698498,0.0
37,5.0,2.0,2017.0,4.0,1.0,61.157803,0.0
38,1.0,0.0,2017.0,4.0,1.0,-28.50343,0.0
39,1.0,0.0,2017.0,4.0,1.0,-51.85148,0.0
40,1.0,0.0,2017.0,4.0,1.0,61.423077,1.0
41,5.0,2.0,2017.0,4.0,1.0,85.7322,0.0
42,2.0,2.0,2017.0,4.0,1.0,100.98932,0.0
43,1.0,2.0,2017.0,4.0,1.0,80.128624,0.0
44,1.0,1.0,2017.0,4.0,1.0,65.97902,0.0
45,1.0,1.0,2017.0,4.0,1.0,16.550121,0.0
46,1.0,2.0,2017.0,4.0,1.0,81.00523,0.0
47,1.0,2.0,2017.0,4.0,1.0,74.00047,0.0
48,1.0,2.0,2017.0,4.0,1.0,77.99423,0.0
49,1.0,2.0,2017.0,4.0,1.0,72.144554,0.0
50,1.0,2.0,2017.0,4.0,1.0,98.23848,0.0
51,1.0,2.0,2017.0,4.0,1.0,71.069214,0.0
52,1.0,0.0,2017.0,4.0,1.0,66.09075,0.0
53,1.0,2.0,2017.0,4.0,1.0,141.31252,0.0
54,1.0,2.0,2017.0,4.0,1.0,191.56001,0.0
55,1.0,2.0,2017.0,4.0,1.0,85.887474,0.0
56,1.0,2.0,2017.0,4.0,1.0,81.44978,0.0
57,1.0,0.0,2017.0,4.0,1.0,13.365606,0.0
58,1.0,2.0,2017.0,4.0,1.0,116.39875,0.0
59,1.0,2.0,2017.0,4.0,1.0,75.21656,0.0
60,1.0,2.0,2017.0,4.0,1.0,94.3479,0.0
61,1.0,2.0,2017.0,4.0,1.0,58.52462,0.0
62,1.0,2.0,2017.0,4.0,1.0,92.99338,0.0
63,1.0,2.0,2017.0,4.0,1.0,47.205338,0.0
64,2.0,2.0,2017.0,4.0,1.0,38.248226,0.0
65,2.0,2.0,2017.0,4.0,1.0,107.80673,0.0
66,2.0,2.0,2017.0,4.0,1.0,104.81684,0.0
67,1.0,2.0,2017.0,4.0,1.0,53.689987,0.0
68,1.0,2.0,2017.0,4.0,1.0,61.09756,0.0
69,1.0,2.0,2017.0,4.0,1.0,65.340004,0.0
70,1.0,2.0,2017.0,4.0,1.0,67.662025,0.0
71,1.0,1.0,2017.0,4.0,1.0,49.69739,0.0
72,1.0,1.0,2017.0,4.0,1.0,86.203766,0.0
73,1.0,1.0,2017.0,4.0,1.0,50.934704,0.0
